,행정구역,년도,인구수
0,서울특별시,2010,5308000
1,부산광역시,2010,1659000
2,대구광역시,2010,1212000
3,인천광역시,2010,1402000
4,광주광역시,2010,705000
5,대전광역시,2010,721000
6,울산광역시,2010,542000
7,세종특별자치시,2010,0
8,경기도,2010,5786000
9,강원도,2010,701000
10,충청북도,2010,760000
11,충청남도,2010,1061000
12,전라북도,2010,859000
13,전라남도,2010,932000
14,경상북도,2010,1410000
15,경상남도,2010,1609000
16,제주도,2010,289000
17,서울특별시,2011,5395000
18,부산광역시,2011,1676000
19,대구광역시,2011,1215000
20,인천광역시,2011,1449000
21,광주광역시,2011,709000
22,대전광역시,2011,736000
23,울산광역시,2011,555000
24,세종특별자치시,2011,0
25,경기도,2011,5901000
26,강원도,2011,707000
27,충청북도,2011,778000
28,충청남도,2011,1089000
29,전라북도,2011,882000
30,전라남도,2011,941000
31,경상북도,2011,1411000
32,경상남도,2011,1649000
33,제주도,2011,299000
34,서울특별시,2012,5371000
35,부산광역시,2012,1727000
36,대구광역시,2012,1250000
37,인천광역시,2012,1496000
38,광주광역시,2012,710000
39,대전광역시,2012,751000
40,울산광역시,2012,564000
41,세종특별자치시,2012,0
42,경기도,2012,6055000
43,강원도,2012,725000
44,충청북도,2012,776000
45,충청남도,2012,1121000
46,전라북도,2012,889000
47,전라남도,2012,959000
48,경상북도,2012,1432000
49,경상남도,2012,1649000
50,제주도,2012,307000
51,서울특별시,2013,5355000
52,부산광역시,2013,1737000
53,대구광역시,2013,1246000
54,인천광역시,2013,1511000
55,광주광역시,2013,727000
56,대전광역시,2013,757000
57,울산광역시,2013,566000
58,세종특별자치시,2013,0
59,경기도,2013,6200000
60,강원도,2013,723000
61,충청북도,2013,800000
62,충청남도,2013,1173000
63,전라북도,2013,913000
64,전라남도,2013,963000
65,경상북도,2013,1448000
66,경상남도,2013,1676000
67,제주도,2013,315000
68,서울특별시,2014,5449000
69,부산광역시,2014,1760000
70,대구광역시,2014,1275000
71,인천광역시,2014,1544000
72,광주광역시,2014,753000
73,대전광역시,2014,788000
74,울산광역시,2014,572000
75,세종특별자치시,2014,0
76,경기도,2014,6488000
77,강원도,2014,743000
78,충청북도,2014,848000
79,충청남도,2014,1203000
80,전라북도,2014,923000
81,전라남도,2014,973000
82,경상북도,2014,1485000
83,경상남도,2014,1702000
84,제주도,2014,329000
85,서울특별시,2015,5391000
86,부산광역시,2015,1756000
87,대구광역시,2015,1291000
88,인천광역시,2015,1567000
89,광주광역시,2015,755000
90,대전광역시,2015,797000
91,울산광역시,2015,590000
92,세종특별자치시,2015,0
93,경기도,2015,6653000
94,강원도,2015,765000
95,충청북도,2015,862000
96,충청남도,2015,1242000
97,전라북도,2015,938000
98,전라남도,2015,987000
99,경상북도,2015,1478000
100,경상남도,2015,1736000
101,제주도,2015,346000
102,서울특별시,2016,5372000
103,부산광역시,2016,1754000
104,대구광역시,2016,1301000
105,인천광역시,2016,1598000
106,광주광역시,2016,753000
107,대전광역시,2016,800000
108,울산광역시,2016,599000
109,세종특별자치시,2016,0
110,경기도,2016,6767000
111,강원도,2016,771000
112,충청북도,2016,867000
113,충청남도,2016,1266000
114,전라북도,2016,960000
115,전라남도,2016,994000
116,경상북도,2016,1490000
117,경상남도,2016,1763000
118,제주도,2016,363000
119,서울특별시,2017,5396000
120,부산광역시,2017,1766000
121,대구광역시,2017,1291000
122,인천광역시,2017,1607000
123,광주광역시,2017,766000
124,대전광역시,2017,791000
125,울산광역시,2017,605000
126,세종특별자치시,2017,132000
127,경기도,2017,6953000
128,강원도,2017,811000
129,충청북도,2017,880000
130,충청남도,2017,1174000
131,전라북도,2017,944000
132,전라남도,2017,988000
133,경상북도,2017,1488000
134,경상남도,2017,1775000
135,제주도,2017,382000
136,서울특별시,2018,5335000
137,부산광역시,2018,1729000
138,대구광역시,2018,1282000
139,인천광역시,2018,1645000
140,광주광역시,2018,779000
141,대전광역시,2018,792000
142,울산광역시,2018,602000
143,세종특별자치시,2018,152000
144,경기도,2018,7058000
145,강원도,2018,812000
146,충청북도,2018,898000
147,충청남도,2018,1216000
148,전라북도,2018,940000
149,전라남도,2018,988000
150,경상북도,2018,1488000
151,경상남도,2018,1801000
152,제주도,2018,379000
153,서울특별시,2019,5319000
154,부산광역시,2019,1741000
155,대구광역시,2019,1266000
156,인천광역시,2019,1653000
157,광주광역시,2019,778000
158,대전광역시,2019,806000
159,울산광역시,2019,596000
160,세종특별자치시,2019,172000
161,경기도,2019,7226000
162,강원도,2019,841000
163,충청북도,2019,908000
164,충청남도,2019,1231000
165,전라북도,2019,953000
166,전라남도,2019,999000
167,경상북도,2019,1488000
168,경상남도,2019,1817000
169,제주도,2019,390000
170,서울특별시,2020,5293000
171,부산광역시,2020,1712000
172,대구광역시,2020,1232000
173,인천광역시,2020,1634000
174,광주광역시,2020,778000
175,대전광역시,2020,816000
176,울산광역시,2020,585000
177,세종특별자치시,2020,185000
178,경기도,2020,7193000
179,강원도,2020,827000
180,충청북도,2020,919000
181,충청남도,2020,1218000
182,전라북도,2020,956000
183,전라남도,2020,998000
184,경상북도,2020,1478000
185,경상남도,2020,1802000
186,제주도,2020,388000
187,서울특별시,2021,5312000
188,부산광역시,2021,1715000
189,대구광역시,2021,1265000
190,인천광역시,2021,1629000
191,광주광역시,2021,772000
192,대전광역시,2021,811000
193,울산광역시,2021,575000
194,세종특별자치시,2021,189000
195,경기도,2021,7422000
196,강원도,2021,840000
197,충청북도,2021,920000
198,충청남도,2021,1221000
199,전라북도,2021,974000
200,전라남도,2021,1008000
201,경상북도,2021,1457000
202,경상남도,2021,1805000
203,제주도,2021,395000
