,행정구역,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,서울특별시,10088611,10072235,10036273,9990010,9975163,9941162,9842501,9766399,9697449,9657296,9617795,9501528,9411443
1,부산광역시,3476658,3476349,3461881,3455734,3452309,3452260,3446962,3424409,3403116,3381208,3355632,3327350,3299396
2,대구광역시,2479781,2483116,2480493,2475657,2474900,2468755,2461272,2457769,2448800,2436776,2414262,2387631,2363420
3,인천광역시,2722990,2754739,2793754,2829608,2862241,2882868,2907366,2923859,2935848,2952200,2951065,2940927,2960685
4,광주광역시,1493632,1502051,1503758,1503835,1504582,1505906,1502125,1495392,1488439,1489142,1479550,1468912,1463411
5,대전광역시,1515009,1528356,1540136,1545232,1552692,1542394,1536169,1527784,1513217,1503212,1491876,1478831,1471563
6,울산광역시,1099035,1112079,1124659,1137472,1151171,1163719,1166202,1158787,1152725,1145761,1139069,1123676,1112807
7,세종특별자치시,0,0,102157,118463,132437,187202,234410,265517,302249,329422,348302,366165,382760
8,경기도,11618962,11825310,11974482,12126274,12282013,12423017,12600313,12785790,13026541,13241253,13452422,13611628,13680911
9,강원도,1488794,1497944,1504234,1505686,1510198,1516636,1520686,1520879,1521442,1520117,1519291,1520457,1525912
10,충청북도,1524279,1545214,1553478,1564816,1578403,1589264,1600904,1609061,1618090,1629249,1630839,1632358,1633687
11,충청남도,2077637,2108370,2042689,2062301,2087600,2102811,2126174,2153380,2177105,2189132,2176641,2176548,2180086
12,전라북도,1795819,1808733,1817430,1820969,1829437,1835125,1835243,1828527,1822635,1811958,1805688,1794192,1780234
13,전라남도,1777282,1778593,1782361,1783896,1791887,1796578,1798310,1795036,1796331,1793043,1793108,1782951,1768620
14,경상북도,2630443,2644992,2655755,2660941,2670922,2677768,2683339,2675128,2675196,2671108,2651789,2640965,2628220
15,경상남도,3217263,3244712,3265495,3277965,3307369,3330230,3337708,3339275,3351332,3350142,3340211,3317568,3289257
16,제주특별자치도,547917,553845,560818,570034,583335,599252,618119,634919,654543,663803,668699,673189,675705
